organism_id	ontology_name	sheet_name	common_names	source_url	paper_url
Organism_11035	Lindera aggregata	Lindera aggregata	spice bush; clustered spicebush	http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Lindera	
Organism_14949	Piper regnellii	Piper regnellii	pariparoba; caapeba	https://search.proquest.com/openview/807106aea80a095e20075dbbb5c8bb5f/1.pdf?pq-origsite=gscholar&cbl=2037657	
Organism_46045	Sideritis tragoriganum	Sideritis tragoriganum	rabo de gato; rabet de gat; cua de gat; ironwort; mountain tea; shepherd's tea	https://europlusmed.org/cdm_dataportal/taxon/c6c24578-0d76-4fde-9497-a6dd81cd6b99	
Organism_16758	Chamomilla recutita (L.) Rauschert	Chamomilla recutita (L.) Rauschert	German chamomile; wild chamomile; Hungarian chamomile; chamomile		
Organism_7349	Millettia erythrocalyx	Millettia erythrocalyx	Chan		
Organism_8245	Baccharis dracunculifolia	Baccharis dracunculifolia	alecrim-do-campo; field rosemary; vassourinha; little broom; alecrim-de-vassoura		
Organism_22573	Atractylodes macrocephala	Atractylodes macrocephala	Bai Zhu; white atractylodes; largehead atractylodes	https://www.sciencedirect.com/science/article/pii/S2667142524000381	
Organism_8412	Esenbeckia leiocarpa	Esenbeckia leiocarpa	Brazilian boxwood; Guaranta; Brazil satinwood	https://pfaf.org/user/Plant.aspx?LatinName=Esenbeckia+leiocarpa	
Organism_44132	Dolomiaea souliei	Dolomiaea souliei	common vladimiria	https://www.picturethisai.com/wiki/Dolomiaea_souliei.html	
Organism_16688	Aspidosperma subincanum	Aspidosperma subincanum	guatambu; carrasco		
Organism_25514	Kaempferia marginata	Kaempferia marginata	peacock ginger; variegated peacock ginger		
Organism_9567	Nauclea officinalis	Nauclea officinalis	medicinal fat-head tree		
Organism_46004	Erysimum leptophyllum	Erysimum leptophyllum	wallflower; treacle-mustard		
Plant_Boswellia_Carterii	Boswellia Carterii	Boswellia Carterii	frankincense tree; frankincense		
Organism_18857	Hypericum styphelioides	Hypericum styphelioides	St. John's wort		
Organism_9846	Ononis vaginalis	Ononis vaginalis	restharrow; sheathed restharrow		
Organism_45206	Agrimonia pilosa var. japonica	Agrimonia pilosa var. japonica	hairy agrimony; oriental agrimony		
Organism_15780	Embelia parviflora	Embelia parviflora	Dang Gui Teng		
Organism_19166	Erythrina melanacantha	Erythrina melanacantha	black-spined coral tree; coral tree		
Organism_2973	Helichrysum tenuifolium	Helichrysum tenuifolium	everlasting; immortelles		
Organism_46012	Euphorbia nematocypha	Euphorbia nematocypha	spurge		
Organism_6761	Dracocephalum kotschyi	Dracocephalum kotschyi	Zarrin-Giah; Zaringiah; Badrandjboie-Dennaie; dragonhead		
Organism_46404	Crepis foetida subsp. rhoeadifolia	Crepis foetida subsp. rhoeadifolia	stinking hawk's-beard; stinking hawksbeard; southern hawksbeard		
Organism_44154	Conocephalum japonicum	Conocephalum japonicum	Snakeskin Liverwort; Scented Liverwort		
Organism_45995	Cordia leucocephala	Cordia leucocephala (Varronia leucocephala)	moleque-duro or negro-duro		
Organism_46037	Diospyros assimilis	Diospyros assimilis (Diospyros ebenum)	Malabar ebony;  Ceylon ebony; Indian ebony	https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:322347-1	
Organism_46026	Gymnocalycium schickendantzii	Gymnocalycium schickendantzii	mound hedgehog cactus		
Organism_46001	Monsonia senegalensis	Monsonia senegalensis	Annual dysentery-flower; pink-flowered crane's bill; pink monsonía		
Organism_45997	Vernonia fagifolia	Vernonia fagifolia (Vernonanthura fagifolia)	ironweed		
Organism_44673	Alkanna cappadocica	Alkanna cappadocica	alkanet; bugloss; Cappadocian alkanet		
Organism_1146	Chrozophora obliqua	Chrozophora obliqua	dyer's croton; turnsole		
Organism_6169	Psiadia dentata	Psiadia dentata	Ti mangue; Bois collant		
Organism_18063	Isodon eriocalyx	Isodon eriocalyx	Yanshukang		
Organism_15045	Salacia chinensis	Salacia chinensis	lolly berry; lolly vine; Chinese salacia; snotty gobbles		
Organism_4094	Disynaphia halimifolia	Disynaphia halimifolia (Eupatorium halimifolium)	Halimium-leaved Eupatorium; Halimium-leaved Disynaphia		
Organism_44676	Artemisia dentata	Artemisia dentata (Artemisia dentata)	big sagebrush; great basin sagebrush; basin big sagebrush; sagebrush		
Organism_46042	Myrica nana	Myrica nana	Yunnan bayberry; Yunnan waxmyrtle		
Organism_3132	Alstonia angustifolia	Alstonia angustifolia	Pulai Penipu Paya; Red-leaved Pulai; Red-leafed Pulai; Hard Alstonia		
Organism_35325	Cryptocarya aschersoniana	Cryptocarya aschersoniana	canela-areia; canela-fogo		
Organism_35308	Rapanea lancifolia	Rapanea lancifolia	Cape beech; Cape beeches		
Plant_Buphane_fischeri	Buphane fischeri	Buphane fischeri (Boophone fischeri)	Poison bulb; Sore-eye flower; Oxbane; Oxkiller fan		
Organism_44664	Lemaireocereus griseus	Lemaireocereus griseus (Stenocereus griseus)	pitayo de mayo; Mexican organ pipe; dagger cactus; gray ghost cactus		
Organism_1728	Sideritis arborescens	Sideritis arborescens	ironwort; mountain tea; shepherd's tea		
Organism_3059	Euphorbia kansui	Euphorbia kansui	gansui; kansui root		
Organism_6315	Securidaca inappendiculata	Securidaca inappendiculata	five-flavor vine		
Organism_16256	Vallesia dichotoma	Vallesia dichotoma (Vallesia glabra)	pearlberry; amarguillo		
Organism_16821	Veratrum oblongum Loes.f.	Veratrum oblongum Loes.f.	false hellebore; corn lily		
Organism_19415	Veronica linariifolia dilatata	Veronica linariifolia dilatata	linear-leaved speedwell		
Organism_53090	Veronica thymoides	Veronica thymoides	thyme-like speedwell		
Organism_4324	Veronica thymoides subsp.pseudocinerea	Veronica thymoides subsp.pseudocinerea	creeping speedwell; thyme-leaf speedwell		
Organism_31703	Vicia dumetorum L.	Vicia dumetorum L.	great wood-vetch; hedge-vetch		
Organism_15532	Viguiera eriophora	Viguiera eriophora	goldeneye		
Organism_12839	Viguiera quinqueremis	Viguiera quinqueremis (Viguiera quinqueremis)	goldeneye		
Organism_9475	Vinca erecta Rgl.et Schmalh.	Vinca erecta Rgl.et Schmalh.	upright periwinkle		
Organism_4552	Vitex cannabifolia Sieb.et.Zucc.	Vitex cannabifolia Sieb.et.Zucc. (Vitex negundo var. cannabifolia)	Chinese chaste tree; five-leaved chaste tree; hempleaf vitex; horseshoe vitex		
Organism_29480	Vitex trifolia var. simplicifolia	Vitex trifolia var. simplicifolia (Vitex rotundifolia)	beach vitex; roundleaf chastetree; round-leaf chaste tree		
Organism_11505	Xanthium canadense	Xanthium canadense (Xanthium strumarium var. canadense)	Canada cocklebur; rough cocklebur; common cocklebur		
Organism_29578	Xanthium strumarium subsp. italicum	Xanthium strumarium subsp. Italicum	rough cocklebur; Italian cocklebur		
Organism_13727	Youngia denticulata (Houtt.) Kitam.	Youngia denticulata (Houtt.) Kitam. (Crepidiastrum denticulatum; Paraixeris denticulata)	Healing Buddha weed		
Organism_16375	Zanthoxylum acanthopodium DC.	Zanthoxylum acanthopodium DC.	Batak pepper; Indonesian Szechuan pepper		
Organism_20904	Zanthoxylum arnottianum	Zanthoxylum arnottianum	Arnotti pricklyash		
Organism_20762	Zanthoxylum elephantiasis Macfad	Zanthoxylum elephantiasis Macfad	prickly yellow; yellow sanders; white prickly ash		
Organism_51447	Zanthoxylum microcarpum	Zanthoxylum microcarpum (Zanthoxylum rhoifolium)	L'Epinet; bitter bush		
Organism_26418	Zanthoxylum podocarpum	Zanthoxylum podocarpum	Szechuan pepper; Sichuan pepper; Chinese-pepper; Flatspine Prickly Ash		
Organism_11294	Zanthoxylum rubescens Planch.ex Oliv.	Zanthoxylum rubescens Planch.ex Oliv.	prickly ash		
